time,high,low,open,volumefrom,volumeto,close
2015-06-25,243.65,239.32,240.56,40360.36,9791297.92,242.56
2015-06-26,243.49,240.14,242.56,37617.83,9112156.6,242.95
2015-06-27,251.57,241.83,242.95,54700.08,13525813.79,250.73
2015-06-28,251.59,246.62,250.73,39892.18,9955671.92,248.88
2015-06-29,257.54,247.96,248.88,92643.49,23504772.6,256.97
2015-06-30,268.73,255.37,256.97,116532.34,30621602.74,264.12
2015-07-01,265.0,254.41,264.12,66934.73,17316801.19,257.62
2015-07-02,261.29,253.09,257.62,45004.59,11560214.6,254.88
2015-07-03,256.71,252.44,254.88,36579.6,9335969.35,255.4
2015-07-04,261.08,253.37,255.4,32951.08,8502000.62,260.55
2015-07-05,274.14,257.61,260.55,48445.72,12906220.27,270.14
