time,high,low,open,volumefrom,volumeto,close
2022-07-06 20:00:00,20425.34,20260.75,20302.45,1258.22,25567703.26,20381.68
2022-07-06 21:00:00,20409.15,20291.07,20381.68,810.61,16498745.75,20338.86
2022-07-06 22:00:00,20578.17,20331.92,20338.86,1851.64,37905080.45,20495.85
2022-07-06 23:00:00,20637.99,20472.05,20495.85,1629.3,33520471.04,20545.04
2022-07-07 00:00:00,20574.93,20470.48,20545.04,1332.96,27357760.75,20516.75
2022-07-07 01:00:00,20542.05,20451.7,20516.75,1043.44,21381625.57,20494.6
2022-07-07 02:00:00,20524.18,20366.61,20494.6,1146.31,23416061.86,20398.62
2022-07-07 03:00:00,20472.83,20375.37,20398.62,655.34,13378024.67,20466.04
2022-07-07 04:00:00,20476.28,20342.16,20466.04,620.32,12653142.46,20400.17
2022-07-07 05:00:00,20425.79,20242.62,20400.17,985.77,20050053.9,20285.62
2022-07-07 06:00:00,20340.79,20266.28,20285.62,587.04,11920209.14,20324.03
2022-07-07 07:00:00,20443.78,20314.57,20324.03,705.84,14385657.47,20424.89
2022-07-07 08:00:00,20528.96,20381.31,20424.89,1094.2,22377184.5,20508.61
2022-07-07 09:00:00,20591.57,20453.86,20508.61,1521.79,31214025.66,20544.79
2022-07-07 10:00:00,20571.33,20446.39,20544.79,872.39,17898238.1,20485.79
2022-07-07 11:00:00,20492.0,20403.79,20485.79,745.15,15239379.14,20490.39
2022-07-07 12:00:00,20493.14,20367.32,20490.39,1348.46,27545633.34,20409.96
2022-07-07 13:00:00,20530.65,20358.09,20409.96,2054.45,42010191.88,20523.94
2022-07-07 14:00:00,20942.4,20488.12,20523.94,4887.79,101404522.07,20905.77
2022-07-07 15:00:00,21002.82,20818.39,20905.77,2445.07,51082180.39,20873.41
2022-07-07 16:00:00,21186.1,20851.6,20873.41,3752.96,78833225.42,21080.74
2022-07-07 17:00:00,21089.08,20826.88,21080.74,2852.21,59629329.68,20890.82
2022-07-07 18:00:00,21409.4,20880.97,20890.82,5372.68,113930580.83,21361.72
2022-07-07 19:00:00,21840.17,21331.81,21361.72,8957.61,193186190.45,21819.46
2022-07-07 20:00:00,21840.22,21517.3,21819.46,3245.64,70212874.44,21610.64
2022-07-07 21:00:00,21713.64,21559.17,21610.64,1381.45,29886191.36,21658.07
2022-07-07 22:00:00,21752.31,21580.03,21658.07,1537.12,33286859.44,21614.23
2022-07-07 23:00:00,21709.31,21560.78,21614.23,1271.84,27527959.06,21611.8
2022-07-08 00:00:00,21721.35,21569.9,21611.8,1545.6,33429872.85,21711.05
2022-07-08 01:00:00,22377.17,21631.01,21711.05,6182.53,136439052.62,22124.82
2022-07-08 02:00:00,22145.33,21871.01,22124.82,2021.1,44469488.11,21979.81
2022-07-08 03:00:00,22121.06,21928.22,21979.81,1313.56,28950371.02,22118.07
2022-07-08 04:00:00,22216.46,21955.77,22118.07,1530.3,33796901.91,21972.48
2022-07-08 05:00:00,22051.83,21750.32,21972.48,1709.24,37468673.24,21839.65
2022-07-08 06:00:00,21860.74,21758.15,21839.65,1200.99,26193501.02,21815.3
2022-07-08 07:00:00,21845.56,21718.28,21815.3,1799.11,39207289.5,21789.88
2022-07-08 08:00:00,21805.95,21421.04,21789.88,2527.31,54759979.54,21426.06
2022-07-08 09:00:00,21563.99,21310.64,21426.06,1641.11,35153525.03,21558.22
2022-07-08 10:00:00,21716.22,21483.88,21558.22,1799.88,38896535.15,21524.61
2022-07-08 11:00:00,21653.74,21455.9,21524.61,1328.78,28655165.56,21562.32
2022-07-08 12:00:00,21694.68,21183.19,21562.32,4202.94,89999387.12,21372.58
2022-07-08 13:00:00,21465.7,21202.37,21372.58,3142.71,67067269.11,21262.06
2022-07-08 14:00:00,21828.78,21192.25,21262.06,4388.91,94533875.97,21747.59
